parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.25413400404243,0.353874257515967,0.538691707482806,0.726003190798966,0.844303437340095
b_scaletotal_load,0.95,0.8,median,-0.0895803545896595,-0.0621051727873119,-0.00333137221522241,0.0503092033554665,0.086595717808816
b_age_catyearling,0.95,0.8,median,-1.46763338023998,-1.4135294435283,-1.31012997173887,-1.20760922318621,-1.15647496123241
sd_site__Intercept,0.95,0.8,median,0.00351357437251854,0.0142012786677508,0.0766773128364254,0.230561534527263,0.394475904290898
sd_site:id__Intercept,0.95,0.8,median,0.189798901748854,0.24435054279904,0.327747900481231,0.399559563771724,0.437083551794573
sd_year__Intercept,0.95,0.8,median,0.197703948206208,0.246087611478323,0.352289772278915,0.530779188892249,0.678240225048981
sigma,0.95,0.8,median,0.60635740687035,0.621022634291283,0.659227933774028,0.703273931560632,0.726360073594466
r_site:id[KUM_D229193,Intercept],0.95,0.8,median,-0.730534993120702,-0.569903699528474,-0.278222587545629,0.00873046702041619,0.163746088941902
r_site:id[KUM_D229509,Intercept],0.95,0.8,median,-0.562287874672709,-0.359068526632068,0.0127417693345964,0.404948793899744,0.56554534799275
r_site:id[KUM_D229512,Intercept],0.95,0.8,median,-0.628194559722357,-0.418927464936816,-0.0838634749143271,0.268981065180938,0.440485699950427
r_site:id[KUM_D229599,Intercept],0.95,0.8,median,-0.200399924484844,-0.0379484720089383,0.335803555751251,0.713071687142772,0.936017259520339
r_site:id[KUM_D229635,Intercept],0.95,0.8,median,-0.474050123274545,-0.276038013927517,0.0932444887570275,0.496008016686813,0.730882006219892
r_site:id[KUM_D229658,Intercept],0.95,0.8,median,-0.703653305780876,-0.511431878151473,-0.208670859527332,0.071983141804393,0.228131027409733
r_site:id[KUM_D229721,Intercept],0.95,0.8,median,-0.0799622418785566,0.108961528899772,0.463393291422574,0.878004376722869,1.10529372190355
r_site:id[KUM_D229735,Intercept],0.95,0.8,median,-0.527590252392474,-0.355262044330966,0.00612978723686463,0.339679961915504,0.528922688476348
r_site:id[KUM_D229737,Intercept],0.95,0.8,median,-0.884151578523163,-0.650392103078163,-0.277075473449626,0.0593637953937527,0.233548437549733
r_site:id[KUM_D237206,Intercept],0.95,0.8,median,-0.797285752649678,-0.58146794745889,-0.235080894044992,0.105492067542981,0.305894886112035
r_site:id[KUM_D237235,Intercept],0.95,0.8,median,-0.63360469976828,-0.416224411832131,-0.0414473607046828,0.335832897005641,0.549983966781033
r_site:id[KUM_D237258,Intercept],0.95,0.8,median,-0.506826142553119,-0.361963857518813,-0.0800394090833808,0.190310599786212,0.335019700828676
r_site:id[KUM_D237310,Intercept],0.95,0.8,median,-0.409770849836835,-0.238200222070826,0.0813753594060544,0.430427129761538,0.637647244328316
r_site:id[KUM_D237311,Intercept],0.95,0.8,median,-0.530171402387161,-0.341847047588987,0.0268184211847065,0.415434419611258,0.628932811816531
r_site:id[KUM_D237313,Intercept],0.95,0.8,median,-0.579303930667381,-0.432476435874897,-0.153481157414817,0.0962615428248994,0.237820887922199
r_site:id[KUM_D237325,Intercept],0.95,0.8,median,-0.22722452419245,-0.04950845013535,0.265542532879457,0.640117961539501,0.839733522974821
r_site:id[KUM_D237327,Intercept],0.95,0.8,median,-0.594380044036753,-0.410056252974249,-0.0659288088949068,0.266113595014973,0.433614292746527
r_site:id[KUM_D237337,Intercept],0.95,0.8,median,-0.687128536026702,-0.500459518950263,-0.170143939199872,0.139129016217653,0.290885598351717
r_site:id[KUM_D237339,Intercept],0.95,0.8,median,-0.498751057209611,-0.340529129065712,-0.00793310699780219,0.290793405501782,0.445600684330857
r_site:id[KUM_D237340,Intercept],0.95,0.8,median,-0.349094504119431,-0.168928226918188,0.115406510555324,0.406941988626518,0.552769843330763
r_site:id[KUM_D237389,Intercept],0.95,0.8,median,-0.502736391848652,-0.276036823927482,0.0813965134139899,0.453505250264644,0.656071531816866
r_site:id[KUM_D243930,Intercept],0.95,0.8,median,-0.46884475193257,-0.314955969107309,-0.0252695795275545,0.255918379243343,0.411358301387118
r_site:id[KUM_D243937,Intercept],0.95,0.8,median,-0.557313109959477,-0.344432835246206,-0.0121236413481111,0.317658729946203,0.491535753788812
r_site:id[KUM_D243940,Intercept],0.95,0.8,median,-0.613857303605689,-0.419177537183895,-0.0409015137108385,0.335316278644101,0.533478087338461
r_site:id[KUM_D244017,Intercept],0.95,0.8,median,-0.619097627182106,-0.417990020411592,-0.0319147664629453,0.342398116803111,0.555387262745139
r_site:id[KUM_D244112,Intercept],0.95,0.8,median,-0.597762477851002,-0.390780060210676,-0.0286473382903713,0.341304671656322,0.551616315311988
r_site:id[KUM_D244143,Intercept],0.95,0.8,median,-0.484196042076475,-0.300334434808049,0.0607194948878209,0.438027743203845,0.646724053798399
r_site:id[KUM_D244144,Intercept],0.95,0.8,median,-0.554427596569348,-0.350994322552356,0.031506412856742,0.413306755720789,0.611009664192744
r_site:id[KUM_D244147,Intercept],0.95,0.8,median,-0.743121370253446,-0.543795276864192,-0.190888784001646,0.154557158946716,0.338295339061506
r_site:id[KUM_D244183,Intercept],0.95,0.8,median,-0.679480845790796,-0.489415526487772,-0.178714485805028,0.124955874231745,0.312922615415774
r_site:id[KUM_D244186,Intercept],0.95,0.8,median,-0.398918428759176,-0.253569834501594,0.0354726619064827,0.336969180458798,0.503409755135766
r_site:id[LEH_D211334,Intercept],0.95,0.8,median,-0.567147775605986,-0.373950841037966,-0.0522819881990903,0.273099971432448,0.479895283051804
r_site:id[LEH_D211489,Intercept],0.95,0.8,median,-0.607105274877903,-0.407269827975299,-0.0958111056459016,0.23667489649401,0.396477802288103
r_site:id[LEH_D211490,Intercept],0.95,0.8,median,-0.653491503709444,-0.481275005967958,-0.11906329616003,0.206820465828463,0.420861302434345
r_site:id[LEH_D217891,Intercept],0.95,0.8,median,-0.628048149164182,-0.433456233831109,-0.0879251153514579,0.244007606692166,0.434410296561978
r_site:id[LEH_D229032,Intercept],0.95,0.8,median,-0.116776877025067,0.0196152782586982,0.334885765363344,0.686118225260699,0.85193309304394
r_site:id[LEH_D229051,Intercept],0.95,0.8,median,-0.305249914042933,-0.158110811409124,0.14600842121241,0.446188058825705,0.618940417181749
r_site:id[LEH_D229054,Intercept],0.95,0.8,median,-0.473218856052584,-0.284162858351482,0.0428258650997043,0.387839030003361,0.568597115200703
r_site:id[LEH_D229055,Intercept],0.95,0.8,median,-0.604449217621571,-0.395382465270639,-0.0265872511162171,0.316895541104443,0.52220195675888
r_site:id[LEH_D229056,Intercept],0.95,0.8,median,-0.60600473530285,-0.4097530167428,-0.042654620517507,0.321770206418219,0.531158954144399
r_site:id[LEH_D229133,Intercept],0.95,0.8,median,-0.221723216031927,-0.0784419077216357,0.223800673212114,0.534291713502169,0.706584924093597
r_site:id[LEH_D229518,Intercept],0.95,0.8,median,-0.570918495626736,-0.365241484834134,-0.013187834182458,0.359036001418475,0.55925455169872
r_site:id[LEH_D229560,Intercept],0.95,0.8,median,-0.569664651831107,-0.357893416652211,0.024450834762322,0.397263777503574,0.588975571847028
r_site:id[LEH_D229630,Intercept],0.95,0.8,median,-0.536613916234835,-0.361563335109401,0.0193441239069948,0.389241538641377,0.611858591190932
r_site:id[LEH_D229646,Intercept],0.95,0.8,median,-0.182198413571696,-0.0171105420514387,0.305515743921718,0.636258907744785,0.838838078883177
r_site:id[LEH_D229648,Intercept],0.95,0.8,median,-0.771791985049337,-0.566065679708911,-0.190346564483844,0.129405875054404,0.287094302326919
r_site:id[LEH_D229740,Intercept],0.95,0.8,median,-0.664751325382309,-0.475292043212171,-0.126208863740129,0.222161111113026,0.427834991920801
r_site:id[LEH_D229742,Intercept],0.95,0.8,median,-0.507442456005393,-0.324380757832835,0.0229377979921607,0.406110056010674,0.615637648412919
r_site:id[LEH_D229776,Intercept],0.95,0.8,median,-0.507266748675651,-0.312729867293928,0.0307656066942367,0.34337704232954,0.521574908514623
r_site:id[LEH_D237300,Intercept],0.95,0.8,median,-0.646858319437853,-0.414501048906417,-0.0344320809862103,0.327812175668873,0.562447223801961
r_site:id[LEH_D237307,Intercept],0.95,0.8,median,-0.637736056055587,-0.449420968516623,-0.0851523401079855,0.24622796361652,0.429752245738394
r_site:id[LEH_D243906,Intercept],0.95,0.8,median,-0.717391960055048,-0.50597374451223,-0.122663440345153,0.228377139609393,0.434585534339865
r_site:id[LEH_D243907,Intercept],0.95,0.8,median,-0.855096958204054,-0.616594930394577,-0.230159129193882,0.117359869511458,0.33862648992927
r_site:id[LEH_D243950,Intercept],0.95,0.8,median,-0.503127433294014,-0.319957097294245,0.00937877199905569,0.348344836159942,0.522444924116371
r_site:id[LEH_D244001,Intercept],0.95,0.8,median,-0.493537549747915,-0.31407665871362,0.0297773116305617,0.386616602705399,0.561656616334687
r_site:id[LEH_D244042,Intercept],0.95,0.8,median,-0.751699491073578,-0.518650337374538,-0.1324285693378,0.230258107993803,0.412761097901939
r_site:id[LEH_D244054,Intercept],0.95,0.8,median,-0.719626383241104,-0.50270949155899,-0.124481990524354,0.241139969852139,0.438067904354958
r_site:id[LEH_D244055,Intercept],0.95,0.8,median,-0.597586197231486,-0.403139012180192,-0.0443194073572666,0.275244792838568,0.450911046805187
r_site:id[LEH_D244083,Intercept],0.95,0.8,median,-0.527068385227978,-0.360862336670857,-0.0250618585337893,0.318577015587051,0.505753008480616
r_site:id[LEH_D244090,Intercept],0.95,0.8,median,-0.562343048152169,-0.368760491645617,0.0114829809790444,0.374328795031489,0.586321415489289
r_site:id[NYR_D154280,Intercept],0.95,0.8,median,-0.6402394839105,-0.442522486071085,-0.0446005575832363,0.318244201308455,0.529871555564445
r_site:id[NYR_D154288,Intercept],0.95,0.8,median,-0.509098400631598,-0.32285393218004,0.029495827339557,0.361508373417346,0.562092185421758
r_site:id[NYR_D211308,Intercept],0.95,0.8,median,-0.643906862209982,-0.426904454478896,-0.0464700661392646,0.300303301378354,0.503057758521745
r_site:id[NYR_D211312,Intercept],0.95,0.8,median,-0.593277813988004,-0.42880456365655,-0.122569452338218,0.168900815336713,0.305707780946966
r_site:id[NYR_D211320,Intercept],0.95,0.8,median,-0.397643181625414,-0.212503444529213,0.117264518817249,0.482061962357013,0.680711391968734
r_site:id[NYR_D211349,Intercept],0.95,0.8,median,-0.647000533092922,-0.470041105442153,-0.105478265611958,0.222554928170299,0.40974741192701
r_site:id[NYR_D211350,Intercept],0.95,0.8,median,-0.443844229508795,-0.236672171315426,0.11596284487304,0.515744112607249,0.759202464632283
r_site:id[NYR_D211411,Intercept],0.95,0.8,median,-0.709602602187483,-0.507185993599035,-0.150696259253072,0.170543312368337,0.362721822119667
r_site:id[NYR_D211412,Intercept],0.95,0.8,median,-0.521166843241769,-0.317854897510662,0.0560174025778406,0.442258163367207,0.662025813413746
r_site:id[NYR_D211431,Intercept],0.95,0.8,median,-0.565704538776571,-0.372064232939524,-0.0534465165827696,0.248017318172332,0.418176995522589
r_site:id[NYR_D211461,Intercept],0.95,0.8,median,-0.327404580075809,-0.152634163501611,0.197390407882031,0.554645135494198,0.773637373756926
r_site:id[NYR_D217821,Intercept],0.95,0.8,median,-0.490789401677512,-0.319151905187019,-0.019931962908337,0.267229066635619,0.439437436267355
r_site:id[NYR_D217870,Intercept],0.95,0.8,median,-0.647757493607196,-0.439733541662195,-0.0547940264175588,0.306487469451564,0.531859267101698
r_site:id[NYR_D217910,Intercept],0.95,0.8,median,0.363462720363627,0.687453393829855,1.29506003222195,1.87430629847627,2.18144594561108
r_site:id[NYR_D217911,Intercept],0.95,0.8,median,-0.753597811275147,-0.544145901091582,-0.205026755057256,0.105011682290312,0.285744991359568
r_site:id[NYR_D217947,Intercept],0.95,0.8,median,-1.00859465758152,-0.816578247846524,-0.481995989787086,-0.158402185275786,-0.0118718696569806
r_site:id[NYR_D217949,Intercept],0.95,0.8,median,-0.707132502026284,-0.529248488281837,-0.203949336004482,0.120364093980774,0.27275060305017
r_site:id[NYR_D217961,Intercept],0.95,0.8,median,-0.428887119369793,-0.257773216854964,0.0434600516426715,0.368402249255318,0.548535081602243
r_site:id[NYR_D217964,Intercept],0.95,0.8,median,-0.420827089332833,-0.250995593365542,0.0889407332800395,0.436905463190372,0.655803714907548
r_site:id[NYR_D217965,Intercept],0.95,0.8,median,-0.670393774047859,-0.517289501988062,-0.208932569849111,0.0926045093240528,0.244202784230978
r_site:id[NYR_D229082,Intercept],0.95,0.8,median,-0.643057556502247,-0.459636813158343,-0.0653583266137724,0.308605312993038,0.518957223725467
r_site:id[NYR_D229093,Intercept],0.95,0.8,median,-0.586546219641643,-0.354438054000244,0.0171055404914402,0.357974941140208,0.595136699304835
r_site:id[NYR_D229096,Intercept],0.95,0.8,median,-0.296010881732117,-0.140486720431421,0.142900503630148,0.435798036075253,0.600192803852218
r_site:id[NYR_D229154,Intercept],0.95,0.8,median,-0.744087877800856,-0.540834890629726,-0.177481688013863,0.175246673921032,0.34853114122945
r_site:id[NYR_D229556,Intercept],0.95,0.8,median,-0.434971064490098,-0.259571919067918,0.0551129871916083,0.358461615381513,0.531527756049879
r_site:id[NYR_D229714,Intercept],0.95,0.8,median,-0.602360552269964,-0.412786616048906,-0.0364662683490189,0.33852553654848,0.543109043188941
r_site:id[NYR_D229716,Intercept],0.95,0.8,median,-0.500947915484567,-0.293789122378057,0.0708618013702332,0.439258616735805,0.623269043473784
r_site:id[NYR_D229718,Intercept],0.95,0.8,median,-0.391285248913742,-0.226595182364834,0.0707847546307784,0.348057060719504,0.495608603355563
r_site:id[NYR_D229770,Intercept],0.95,0.8,median,-0.837522368735593,-0.606397581656016,-0.205797119930165,0.183069179707302,0.378185669610957
r_site:id[NYR_D229772,Intercept],0.95,0.8,median,-0.660372360281636,-0.495175911200335,-0.176782250339682,0.139409380364714,0.312696644568195
r_site:id[NYR_D229783,Intercept],0.95,0.8,median,-0.485097539373205,-0.281818044401145,0.07204329215174,0.458549434732061,0.666747167681581
r_site:id[NYR_D229784,Intercept],0.95,0.8,median,-0.829855307046281,-0.606898378135341,-0.24774962673675,0.0984758884934495,0.284992820447323
r_site:id[NYR_D237276,Intercept],0.95,0.8,median,-0.474543890162071,-0.273619703365595,0.0579335959131362,0.411058636258791,0.607853040323947
r_site:id[NYR_D237352,Intercept],0.95,0.8,median,-0.519926631805033,-0.337751753245717,0.0369017517131725,0.390648064179522,0.61584497788637
r_site:id[NYR_D237360,Intercept],0.95,0.8,median,-0.543327635400464,-0.34454795830183,0.0264106948849402,0.39536814454061,0.588094356122741
r_site:id[NYR_D237361,Intercept],0.95,0.8,median,-0.471418994733296,-0.270239434949137,0.0678784092133836,0.40649713184961,0.578117093935309
r_site:id[NYR_D237378,Intercept],0.95,0.8,median,-0.57541481909252,-0.36713135781556,-0.0130303320358947,0.36305016851018,0.561689946051322
r_site:id[NYR_D237391,Intercept],0.95,0.8,median,-0.530589967280922,-0.36788188626298,-0.0724861340701373,0.204016206972915,0.353405930605467
r_site:id[NYR_D237394,Intercept],0.95,0.8,median,-0.553440878026053,-0.349505324885783,-0.0178104638836439,0.323513133237498,0.504029972928831
r_site:id[NYR_D243901,Intercept],0.95,0.8,median,-0.593812916670598,-0.386901809087285,-0.0453655846772338,0.295183969319231,0.475643543428941
r_site:id[NYR_D243916,Intercept],0.95,0.8,median,-0.632609266997135,-0.435845660893461,-0.0849133153122554,0.236971015121962,0.436784591410274
r_site:id[NYR_D243918,Intercept],0.95,0.8,median,-0.55473967940923,-0.356351919974229,0.0216761297529406,0.373600788324764,0.581708042161659
r_site:id[NYR_D244032,Intercept],0.95,0.8,median,-0.392980629600393,-0.236498815652846,0.0860222334989514,0.402194944188935,0.59014436506999
r_site:id[NYR_D244033,Intercept],0.95,0.8,median,-0.738423660096163,-0.511323032448569,-0.134919740820203,0.251474896243814,0.443391749878865
r_site:id[NYR_D244077,Intercept],0.95,0.8,median,-0.554119470722491,-0.364974387304918,0.00033710009051349,0.367084903688905,0.563143482100032
r_site:id[NYR_D244162,Intercept],0.95,0.8,median,-0.63704540450793,-0.454514348043436,-0.0944186887739695,0.232391545882341,0.433083699985366
r_site:id[NYR_D244163,Intercept],0.95,0.8,median,-0.550877509318085,-0.355014679859618,0.0055942730302455,0.391265519455533,0.599143249561235
r_site:id[NYR_D244168,Intercept],0.95,0.8,median,-0.565931239157355,-0.380586986439381,-0.0650130126181523,0.228496244027646,0.398122208203756
r_site:id[NYR_D244179,Intercept],0.95,0.8,median,-0.483436835621662,-0.300361375287221,0.00757898983936189,0.316135038594926,0.506237165080105
r_site:id[NYR_D247994,Intercept],0.95,0.8,median,-0.611591740051786,-0.394169314571388,-0.0500951660409712,0.299424271799562,0.495127358858938
r_site:id[SAA_D229097,Intercept],0.95,0.8,median,-0.52758583072857,-0.331206025177198,0.0086822996017806,0.349795091689305,0.527657012940357
r_site:id[SAA_D229103,Intercept],0.95,0.8,median,-0.695424343257128,-0.482998377923201,-0.143965076387664,0.185324855965506,0.358910864214729
r_site:id[SAA_D229160,Intercept],0.95,0.8,median,-0.62614347641164,-0.412110610072079,-0.052491458947443,0.328084746309616,0.524233119296433
r_site:id[SAA_D229161,Intercept],0.95,0.8,median,-0.557059310224507,-0.359215222982388,0.0170866917489684,0.383418973990614,0.593024940704808
r_site:id[SAA_D229162,Intercept],0.95,0.8,median,-0.588665159406381,-0.396757679817719,-0.0754538927040448,0.230863704586014,0.397993956584696
r_site:id[SAA_D229170,Intercept],0.95,0.8,median,-0.390738764002805,-0.228681934350023,0.085552415953442,0.39920509853966,0.54911095278983
r_site:id[SAA_D229171,Intercept],0.95,0.8,median,-0.437149473314461,-0.27518165446531,0.0524480858686069,0.39104617575082,0.585437228836998
r_site:id[SAA_D229186,Intercept],0.95,0.8,median,-0.541602426827217,-0.375142746095788,-0.047153520778307,0.271134788482448,0.464178733513347
r_site:id[SAA_D229633,Intercept],0.95,0.8,median,-0.51972564260049,-0.32491667867187,0.0191170679217709,0.359229764459662,0.555609303308859
r_site:id[SAA_D229638,Intercept],0.95,0.8,median,-0.756070196336405,-0.55516561281581,-0.146010531282108,0.219017425591219,0.441645570521245
r_site:id[SAA_D229759,Intercept],0.95,0.8,median,-0.412031520574766,-0.220821513133286,0.148267965506049,0.54551505812093,0.785425315762265
r_site:id[SAA_D229775,Intercept],0.95,0.8,median,-0.515099903035889,-0.309710171947979,0.0682257847968723,0.446914699629339,0.68120106772102
r_site:id[SAA_D229777,Intercept],0.95,0.8,median,-0.555057896825992,-0.365395424966044,-0.0515862973891101,0.258126662088729,0.408856939514863
r_site:id[SAA_D229780,Intercept],0.95,0.8,median,-0.215153485801266,-0.0531448662812071,0.256243417067574,0.594660142994502,0.775286614367953
r_site:id[SAA_D237232,Intercept],0.95,0.8,median,-0.604305937052841,-0.417900045046676,-0.0661748705467619,0.251996491714459,0.42095820722287
r_site:id[SAA_D237233,Intercept],0.95,0.8,median,-0.739035836271832,-0.55549524130513,-0.200703870239244,0.102991689469807,0.277802118180661
r_site:id[SAA_D237355,Intercept],0.95,0.8,median,-0.644888042695682,-0.436284434525393,-0.0553961905284868,0.30798312220093,0.513387854354776
r_site:id[SAA_D237369,Intercept],0.95,0.8,median,-0.571999754278129,-0.377020187483361,-0.00352291133443732,0.370278754238136,0.561719110838397
r_site:id[SAA_D237371,Intercept],0.95,0.8,median,-0.557390157352816,-0.345682607781697,0.00591260929563601,0.373018345387305,0.579081227752667
r_site:id[SAA_D244005,Intercept],0.95,0.8,median,-0.387067142957146,-0.212782527113592,0.117278926257718,0.470927620681921,0.687631000238098
r_site:id[SAA_D244029,Intercept],0.95,0.8,median,-0.618456217057411,-0.400817463060716,-0.0245474379317711,0.335862369430716,0.558503720832809
r_site:id[SAA_D244073,Intercept],0.95,0.8,median,-0.372222082471284,-0.196978092972322,0.125129057592267,0.478550608159682,0.673375697896758
r_site:id[SAA_D244086,Intercept],0.95,0.8,median,-0.694981758754108,-0.499409106871796,-0.148334582220991,0.184401679292359,0.36900129833637
r_site:id[SAA_D244087,Intercept],0.95,0.8,median,-0.429832456752875,-0.240800499824994,0.112644831290213,0.488950710206995,0.706585449294586
r_site:id[SAA_D244123,Intercept],0.95,0.8,median,-0.828441391640021,-0.608515558188128,-0.216721495372956,0.132967223516987,0.331890126157645
r_site:id[TEE_D154259,Intercept],0.95,0.8,median,-0.318400424792119,-0.15239814834012,0.170005268048947,0.494987503324836,0.677794069775554
r_site:id[TEE_D154299,Intercept],0.95,0.8,median,-0.314398537345789,-0.150740259941328,0.148964020478539,0.488080507134997,0.690633654133359
r_site:id[TEE_D211445,Intercept],0.95,0.8,median,-0.0963642998845457,0.0600606633600166,0.36590426105679,0.697562091133602,0.855921151502754
r_site:id[TEE_D211451,Intercept],0.95,0.8,median,-0.33189008107832,-0.145105216192266,0.183711918542727,0.566770811233562,0.762273290778301
r_site:id[TEE_D217810,Intercept],0.95,0.8,median,-0.654126885712888,-0.466876236148968,-0.120121498720409,0.219773296190851,0.409435826860673
r_site:id[TEE_D217831,Intercept],0.95,0.8,median,-0.498274785462531,-0.304188781740568,0.0369181623211616,0.35096112727946,0.534704040231
r_site:id[TEE_D217835,Intercept],0.95,0.8,median,-0.71480510441089,-0.531088561598252,-0.16373750850059,0.187028064697487,0.387497741190353
r_site:id[TEE_D217864,Intercept],0.95,0.8,median,-0.763308013151919,-0.548088584559398,-0.184273767674849,0.140734551404983,0.330416698270768
r_site:id[TEE_D217993,Intercept],0.95,0.8,median,0.0318122958850762,0.198720479985958,0.553410814241384,0.934314498320252,1.14065727145648
r_site:id[TEE_D229063,Intercept],0.95,0.8,median,-0.584140262180044,-0.38693864467954,-0.0450627250265857,0.288522463963153,0.516187500879814
r_site:id[TEE_D229155,Intercept],0.95,0.8,median,-0.408230968065719,-0.224186428218787,0.0898095944137081,0.416932696639984,0.58517061692965
r_site:id[TEE_D229675,Intercept],0.95,0.8,median,-0.499396097272631,-0.311616185499044,0.0540590407399574,0.427668791469091,0.671480081724568
r_site:id[TEE_D229676,Intercept],0.95,0.8,median,-0.476266056146526,-0.261014025780322,0.102213998041795,0.476321754732656,0.690292527489963
r_site:id[TEE_D229705,Intercept],0.95,0.8,median,-0.254387899327609,-0.122440318528287,0.161587972408734,0.466983783320652,0.618508162166548
r_site:id[TEE_D229707,Intercept],0.95,0.8,median,-0.645362207703074,-0.442807279474414,-0.0910449849841181,0.234134398867314,0.415936913534033
